tokenizer,model,n_samples,emb_dim,mean_norm,std_norm,eff_dim_90,eff_dim_95,mean_cosine_sim,mean_token_length,median_token_length,std_token_length,pca_var_ratio_top5
REMI,CLaMP-1,475,384,7.784086227416992,0.1458200067281723,19,21,0.9802577495574951,21117.06947368421,19284.0,11789.00772313879,0.6705605387687683
REMI,CLaMP-2,475,768,2.7567214965820312,0.030062736943364143,21,21,0.9639087915420532,21117.06947368421,19284.0,11789.00772313879,0.6130916476249695
REMI,MusicBERT,475,768,15.854771614074707,0.2257484793663025,21,21,0.9636812210083008,21117.06947368421,19284.0,11789.00772313879,0.5423583388328552
TSD,CLaMP-1,475,384,7.846250534057617,0.1490754634141922,20,21,0.9799692034721375,20910.294736842105,19100.0,11750.502866796973,0.6769260168075562
TSD,CLaMP-2,475,768,2.636352777481079,0.04889953136444092,21,21,0.9409394264221191,20910.294736842105,19100.0,11750.502866796973,0.5225265026092529
TSD,MusicBERT,475,768,15.26611328125,0.2902669608592987,21,21,0.9600212574005127,20910.294736842105,19100.0,11750.502866796973,0.5529259443283081
Octuple,CLaMP-1,473,384,7.760940074920654,0.12294171750545502,15,21,0.9841535091400146,21120.18604651163,19352.0,10902.017224712301,0.7333320379257202
Octuple,CLaMP-2,473,768,2.6749038696289062,0.0555894672870636,21,21,0.8428716063499451,21120.18604651163,19352.0,10902.017224712301,0.5159181356430054
Octuple,MusicBERT,473,768,13.814126968383789,0.19832615554332733,21,21,0.9710482954978943,21120.18604651163,19352.0,10902.017224712301,0.588837742805481
MIDI-Like,CLaMP-1,475,384,7.404092311859131,0.12685517966747284,16,21,0.9808236360549927,26874.964210526316,24788.0,14948.81336367128,0.723690927028656
MIDI-Like,CLaMP-2,475,768,2.773442029953003,0.03239866718649864,21,21,0.8901430368423462,26874.964210526316,24788.0,14948.81336367128,0.6872496604919434
MIDI-Like,MusicBERT,475,768,14.393651008605957,0.22630958259105682,11,21,0.9498839378356934,26874.964210526316,24788.0,14948.81336367128,0.8352237939834595
