model,metric,factor,eta_sq,n
CLaMP-1,fmd,tokenizer,0.6321979033523444,960
CLaMP-1,fmd,preprocess,0.00038046008607198575,960
CLaMP-1,nfmd_trace,tokenizer,0.06053197608525224,960
CLaMP-1,nfmd_trace,preprocess,0.0002128030293587739,960
CLaMP-1,nfmd_norm,tokenizer,0.6524981836934681,960
CLaMP-1,nfmd_norm,preprocess,0.0005003902394510332,960
CLaMP-2,fmd,tokenizer,0.8072324662625456,960
CLaMP-2,fmd,preprocess,0.04115267896527308,960
CLaMP-2,nfmd_trace,tokenizer,0.08385158444909999,960
CLaMP-2,nfmd_trace,preprocess,0.0008377629686168058,960
CLaMP-2,nfmd_norm,tokenizer,0.7831153713802774,960
CLaMP-2,nfmd_norm,preprocess,0.06873909435187212,960
MERT,fmd,tokenizer,0.0010785614040736474,550
MERT,fmd,preprocess,0.011832803042735186,550
MERT,nfmd_trace,tokenizer,0.005517614008175357,550
MERT,nfmd_trace,preprocess,0.02397264488293204,550
MERT,nfmd_norm,tokenizer,0.0006364184619744057,550
MERT,nfmd_norm,preprocess,0.011468666671935334,550
MusicBERT,fmd,tokenizer,0.31503380998472247,960
MusicBERT,fmd,preprocess,0.05426985727358939,960
MusicBERT,nfmd_trace,tokenizer,0.3587603960578721,960
MusicBERT,nfmd_trace,preprocess,0.011119525374170504,960
MusicBERT,nfmd_norm,tokenizer,0.3320664595828056,960
MusicBERT,nfmd_norm,preprocess,0.052640390056431965,960
MusicBERT-large,fmd,tokenizer,0.010554938386609865,960
MusicBERT-large,fmd,preprocess,0.10254219465291799,960
MusicBERT-large,nfmd_trace,tokenizer,0.18509083980439692,960
MusicBERT-large,nfmd_trace,preprocess,0.024087443746464553,960
MusicBERT-large,nfmd_norm,tokenizer,0.010554638099800586,960
MusicBERT-large,nfmd_norm,preprocess,0.10400251132122676,960
NLP-Baseline,fmd,tokenizer,0.8307565156774285,960
NLP-Baseline,fmd,preprocess,0.01311033327090662,960
NLP-Baseline,nfmd_trace,tokenizer,0.018440329323609592,960
NLP-Baseline,nfmd_trace,preprocess,0.1344470118174261,960
NLP-Baseline,nfmd_norm,tokenizer,0.8616309856146688,960
NLP-Baseline,nfmd_norm,preprocess,0.01246458074690504,960
