group1,group2,meandiff,p-adj,lower,upper,reject,p_adj_holm,p_adj_bonf,still_sig_holm,still_sig_bonf
CLaMP-1,CLaMP-2,0.0562,,,,False,,,False,False
CLaMP-1,MERT,,,,,False,,,False,False
CLaMP-1,MusicBERT,7.3733,,,,False,,,False,False
CLaMP-1,MusicBERT-large,15.8664,,,,False,,,False,False
CLaMP-1,NLP-Baseline,0.1372,,,,False,,,False,False
CLaMP-2,MERT,,,,,False,,,False,False
CLaMP-2,MusicBERT,7.3171,,,,False,,,False,False
CLaMP-2,MusicBERT-large,15.8102,,,,False,,,False,False
CLaMP-2,NLP-Baseline,0.081,,,,False,,,False,False
MERT,MusicBERT,,,,,False,,,False,False
MERT,MusicBERT-large,,,,,False,,,False,False
MERT,NLP-Baseline,,,,,False,,,False,False
MusicBERT,MusicBERT-large,8.4931,,,,False,,,False,False
MusicBERT,NLP-Baseline,-7.2361,,,,False,,,False,False
MusicBERT-large,NLP-Baseline,-15.7292,,,,False,,,False,False
