pair,count,mean_fmd,std_fmd,min_fmd,max_fmd,distinguishability_ratio
classical vs rap,32,0.32073425745784184,0.25183122834393457,0.07317790468411123,0.8194674014482588,1.21931124602268
rock vs classical,32,0.3132807215696435,0.23098829148667793,0.07368316671370635,0.7088764384500039,1.1909757005678623
jazz vs classical,32,0.30256715631426334,0.24331669157441005,0.06474824922638463,0.8006758411350899,1.1502467472455002
rap vs pop,32,0.27590221354124267,0.20698540629900605,0.06932880744119219,0.6995978549469536,1.0488766446085256
rock vs rap,32,0.2745538430078913,0.21954323131727224,0.058385543495002634,0.6923911853957345,1.0437506460072161
jazz vs rock,32,0.2632343247181549,0.23297814263972128,0.056244860831251825,0.7772519482016416,1.0007180867176952
jazz vs rap,32,0.23927889068781238,0.1842785773454998,0.06044962388404094,0.5928017239147213,0.9096485191945243
jazz vs pop,32,0.23493971725836704,0.18969838631166586,0.0563667279767281,0.6640697706620556,0.8931526107034865
rock vs pop,32,0.2259233584171424,0.16511981479077134,0.06275031284338793,0.5179800222377633,0.858875799051316
classical vs pop,32,0.18003986987690432,0.13044601343794576,0.04721460768015273,0.43314774351259916,0.6844439998811922
