pair,rank,variant,fmd,dataset_a,dataset_b
classical vs pop,1,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.43314774351259916,classical,pop
classical vs pop,2,tok=Octuple|model=CLaMP-2|vel=on|quant=on,0.43314774351259916,classical,pop
classical vs pop,3,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.4188653748244391,classical,pop
classical vs pop,4,tok=Octuple|model=CLaMP-2|vel=off|quant=on,0.4188653748244391,classical,pop
classical vs pop,5,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.315531247517675,classical,pop
classical vs rap,1,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.8194674014482588,classical,rap
classical vs rap,2,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.8194674014482588,classical,rap
classical vs rap,3,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.8039528369363305,classical,rap
classical vs rap,4,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.8039528369363305,classical,rap
classical vs rap,5,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.5032546307504305,classical,rap
jazz vs classical,1,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.8006758411350899,jazz,classical
jazz vs classical,2,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.8006758411350899,jazz,classical
jazz vs classical,3,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.7396289824034792,jazz,classical
jazz vs classical,4,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.7396289824034792,jazz,classical
jazz vs classical,5,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.5600711146236583,jazz,classical
jazz vs pop,1,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.6640697706620556,jazz,pop
jazz vs pop,2,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.6640697706620556,jazz,pop
jazz vs pop,3,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.6320555012952558,jazz,pop
jazz vs pop,4,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.6320555012952558,jazz,pop
jazz vs pop,5,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.332333374524298,jazz,pop
jazz vs rap,1,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.5928017239147213,jazz,rap
jazz vs rap,2,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.5928017239147213,jazz,rap
jazz vs rap,3,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.5696366961470097,jazz,rap
jazz vs rap,4,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.5696366961470097,jazz,rap
jazz vs rap,5,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.4650767114017588,jazz,rap
jazz vs rock,1,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.7772519482016416,jazz,rock
jazz vs rock,2,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.7772519482016416,jazz,rock
jazz vs rock,3,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.7737192157333469,jazz,rock
jazz vs rock,4,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.7737192157333469,jazz,rock
jazz vs rock,5,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.40447194541348896,jazz,rock
rap vs pop,1,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.6995978549469536,rap,pop
rap vs pop,2,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.6995978549469536,rap,pop
rap vs pop,3,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.6491720961638997,rap,pop
rap vs pop,4,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.6491720961638997,rap,pop
rap vs pop,5,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.458323162904198,rap,pop
rock vs classical,1,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.7088764384500039,rock,classical
rock vs classical,2,tok=Octuple|model=CLaMP-2|vel=on|quant=on,0.7088764384500039,rock,classical
rock vs classical,3,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.6840559402171095,rock,classical
rock vs classical,4,tok=Octuple|model=CLaMP-2|vel=off|quant=on,0.6840559402171095,rock,classical
rock vs classical,5,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.6065787435524335,rock,classical
rock vs pop,1,tok=Octuple|model=CLaMP-2|vel=on|quant=off,0.5179800222377633,rock,pop
rock vs pop,2,tok=Octuple|model=CLaMP-2|vel=on|quant=on,0.5179800222377633,rock,pop
rock vs pop,3,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.5164338396483438,rock,pop
rock vs pop,4,tok=Octuple|model=CLaMP-2|vel=off|quant=on,0.5164338396483438,rock,pop
rock vs pop,5,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.451862234316804,rock,pop
rock vs rap,1,tok=TSD|model=CLaMP-2|vel=off|quant=off,0.6923911853957345,rock,rap
rock vs rap,2,tok=TSD|model=CLaMP-2|vel=off|quant=on,0.6923911853957345,rock,rap
rock vs rap,3,tok=TSD|model=CLaMP-2|vel=on|quant=off,0.6606487874978167,rock,rap
rock vs rap,4,tok=TSD|model=CLaMP-2|vel=on|quant=on,0.6606487874978167,rock,rap
rock vs rap,5,tok=Octuple|model=CLaMP-2|vel=off|quant=off,0.5624201583135916,rock,rap
