tokenizer,remove_velocity,hard_quantization,model_a,model_b,mean_fmd_a,mean_fmd_b,delta_fmd
MIDI-Like,False,False,CLaMP-1,CLaMP-2,0.07183218630924874,0.4077974450146096,-0.33596525870536087
MIDI-Like,False,True,CLaMP-1,CLaMP-2,0.07183218630924874,0.4077974450146096,-0.33596525870536087
MIDI-Like,True,False,CLaMP-1,CLaMP-2,0.06893486961458628,0.4007331428841597,-0.3317982732695734
MIDI-Like,True,True,CLaMP-1,CLaMP-2,0.06893486961458628,0.4007331428841597,-0.3317982732695734
Octuple,False,False,CLaMP-1,CLaMP-2,0.11073959964048578,0.48310292379734515,-0.37236332415685935
Octuple,False,True,CLaMP-1,CLaMP-2,0.11073959964048578,0.48310292379734515,-0.37236332415685935
Octuple,True,False,CLaMP-1,CLaMP-2,0.11072265200615894,0.4746425707475361,-0.36391991874137714
Octuple,True,True,CLaMP-1,CLaMP-2,0.11072265200615894,0.4746425707475361,-0.36391991874137714
REMI,False,False,CLaMP-1,CLaMP-2,0.0679174849237083,0.37424704669987846,-0.30632956177617016
REMI,False,True,CLaMP-1,CLaMP-2,0.0679174849237083,0.37424704669987846,-0.30632956177617016
REMI,True,False,CLaMP-1,CLaMP-2,0.06186085850486835,0.37154734726801186,-0.30968648876314353
REMI,True,True,CLaMP-1,CLaMP-2,0.06186085850486835,0.37154734726801186,-0.30968648876314353
TSD,False,False,CLaMP-1,CLaMP-2,0.07471478909431588,0.6685318866802692,-0.5938170975859534
TSD,False,True,CLaMP-1,CLaMP-2,0.07471478909431588,0.6685318866802692,-0.5938170975859534
TSD,True,False,CLaMP-1,CLaMP-2,0.07284749356825822,0.6847632050583238,-0.6119157114900655
TSD,True,True,CLaMP-1,CLaMP-2,0.07284749356825822,0.6847632050583238,-0.6119157114900655
