model,remove_velocity,hard_quantization,tokenizer_a,tokenizer_b,mean_fmd_a,mean_fmd_b,delta_fmd
CLaMP-1,False,False,MIDI-Like,Octuple,0.07183218630924874,0.11073959964048578,-0.03890741333123704
CLaMP-1,False,False,MIDI-Like,REMI,0.07183218630924874,0.0679174849237083,0.0039147013855404394
CLaMP-1,False,False,MIDI-Like,TSD,0.07183218630924874,0.07471478909431588,-0.0028826027850671343
CLaMP-1,False,False,Octuple,REMI,0.11073959964048578,0.0679174849237083,0.04282211471677748
CLaMP-1,False,False,Octuple,TSD,0.11073959964048578,0.07471478909431588,0.036024810546169905
CLaMP-1,False,False,REMI,TSD,0.0679174849237083,0.07471478909431588,-0.006797304170607574
CLaMP-1,False,True,MIDI-Like,Octuple,0.07183218630924874,0.11073959964048578,-0.03890741333123704
CLaMP-1,False,True,MIDI-Like,REMI,0.07183218630924874,0.0679174849237083,0.0039147013855404394
CLaMP-1,False,True,MIDI-Like,TSD,0.07183218630924874,0.07471478909431588,-0.0028826027850671343
CLaMP-1,False,True,Octuple,REMI,0.11073959964048578,0.0679174849237083,0.04282211471677748
CLaMP-1,False,True,Octuple,TSD,0.11073959964048578,0.07471478909431588,0.036024810546169905
CLaMP-1,False,True,REMI,TSD,0.0679174849237083,0.07471478909431588,-0.006797304170607574
CLaMP-1,True,False,MIDI-Like,Octuple,0.06893486961458628,0.11072265200615894,-0.04178778239157266
CLaMP-1,True,False,MIDI-Like,REMI,0.06893486961458628,0.06186085850486835,0.007074011109717927
CLaMP-1,True,False,MIDI-Like,TSD,0.06893486961458628,0.07284749356825822,-0.003912623953671937
CLaMP-1,True,False,Octuple,REMI,0.11072265200615894,0.06186085850486835,0.048861793501290586
CLaMP-1,True,False,Octuple,TSD,0.11072265200615894,0.07284749356825822,0.03787515843790072
CLaMP-1,True,False,REMI,TSD,0.06186085850486835,0.07284749356825822,-0.010986635063389864
CLaMP-1,True,True,MIDI-Like,Octuple,0.06893486961458628,0.11072265200615894,-0.04178778239157266
CLaMP-1,True,True,MIDI-Like,REMI,0.06893486961458628,0.06186085850486835,0.007074011109717927
CLaMP-1,True,True,MIDI-Like,TSD,0.06893486961458628,0.07284749356825822,-0.003912623953671937
CLaMP-1,True,True,Octuple,REMI,0.11072265200615894,0.06186085850486835,0.048861793501290586
CLaMP-1,True,True,Octuple,TSD,0.11072265200615894,0.07284749356825822,0.03787515843790072
CLaMP-1,True,True,REMI,TSD,0.06186085850486835,0.07284749356825822,-0.010986635063389864
CLaMP-2,False,False,MIDI-Like,Octuple,0.4077974450146096,0.48310292379734515,-0.07530547878273552
CLaMP-2,False,False,MIDI-Like,REMI,0.4077974450146096,0.37424704669987846,0.03355039831473117
CLaMP-2,False,False,MIDI-Like,TSD,0.4077974450146096,0.6685318866802692,-0.26073444166565957
CLaMP-2,False,False,Octuple,REMI,0.48310292379734515,0.37424704669987846,0.10885587709746669
CLaMP-2,False,False,Octuple,TSD,0.48310292379734515,0.6685318866802692,-0.18542896288292404
CLaMP-2,False,False,REMI,TSD,0.37424704669987846,0.6685318866802692,-0.29428483998039073
CLaMP-2,False,True,MIDI-Like,Octuple,0.4077974450146096,0.48310292379734515,-0.07530547878273552
CLaMP-2,False,True,MIDI-Like,REMI,0.4077974450146096,0.37424704669987846,0.03355039831473117
CLaMP-2,False,True,MIDI-Like,TSD,0.4077974450146096,0.6685318866802692,-0.26073444166565957
CLaMP-2,False,True,Octuple,REMI,0.48310292379734515,0.37424704669987846,0.10885587709746669
CLaMP-2,False,True,Octuple,TSD,0.48310292379734515,0.6685318866802692,-0.18542896288292404
CLaMP-2,False,True,REMI,TSD,0.37424704669987846,0.6685318866802692,-0.29428483998039073
CLaMP-2,True,False,MIDI-Like,Octuple,0.4007331428841597,0.4746425707475361,-0.0739094278633764
CLaMP-2,True,False,MIDI-Like,REMI,0.4007331428841597,0.37154734726801186,0.029185795616147814
CLaMP-2,True,False,MIDI-Like,TSD,0.4007331428841597,0.6847632050583238,-0.2840300621741641
CLaMP-2,True,False,Octuple,REMI,0.4746425707475361,0.37154734726801186,0.10309522347952421
CLaMP-2,True,False,Octuple,TSD,0.4746425707475361,0.6847632050583238,-0.2101206343107877
CLaMP-2,True,False,REMI,TSD,0.37154734726801186,0.6847632050583238,-0.3132158577903119
CLaMP-2,True,True,MIDI-Like,Octuple,0.4007331428841597,0.4746425707475361,-0.0739094278633764
CLaMP-2,True,True,MIDI-Like,REMI,0.4007331428841597,0.37154734726801186,0.029185795616147814
CLaMP-2,True,True,MIDI-Like,TSD,0.4007331428841597,0.6847632050583238,-0.2840300621741641
CLaMP-2,True,True,Octuple,REMI,0.4746425707475361,0.37154734726801186,0.10309522347952421
CLaMP-2,True,True,Octuple,TSD,0.4746425707475361,0.6847632050583238,-0.2101206343107877
CLaMP-2,True,True,REMI,TSD,0.37154734726801186,0.6847632050583238,-0.3132158577903119
