dataset,configuration,n_samples_per_half,split_half_fmd
maestro,MusicBERT-REMI,40,2.12370451375134
maestro,MusicBERT-TSD,40,2.3083197572691656
maestro,CLaMP2-MTF,40,0.03561647960799896
maestro,CLaMP1-ABC,40,0.05415299253576489
maestro,CLaMP2-ABC,40,0.18062032335935374
pop909,MusicBERT-REMI,40,1.5723455074486292
pop909,MusicBERT-TSD,40,2.3229537542820022
pop909,CLaMP2-MTF,40,0.028573787963285524
pop909,CLaMP1-ABC,40,0.0576004476702775
pop909,CLaMP2-ABC,40,0.16279805351477772
classical,MusicBERT-REMI,40,1.8769676794968122
classical,MusicBERT-TSD,40,1.5135511230978853
classical,CLaMP2-MTF,40,0.0274161048735882
classical,CLaMP1-ABC,40,0.05443477326875318
classical,CLaMP2-ABC,40,0.1640107325575546
jazz,MusicBERT-REMI,40,1.7995126906013166
jazz,MusicBERT-TSD,40,1.3506540148533457
jazz,CLaMP2-MTF,40,0.02120498446042246
jazz,CLaMP1-ABC,40,0.07613423569516004
jazz,CLaMP2-ABC,40,0.16694464663871023
rock,MusicBERT-REMI,40,1.5797069305794547
rock,MusicBERT-TSD,40,1.2127908492469546
rock,CLaMP2-MTF,40,0.02255755968010853
rock,CLaMP1-ABC,40,0.0766191398008057
rock,CLaMP2-ABC,40,0.1175254338709752
rap,MusicBERT-REMI,40,1.7068525955997291
rap,MusicBERT-TSD,40,1.274700600000616
rap,CLaMP2-MTF,40,0.020421961097403546
rap,CLaMP1-ABC,40,0.07514038494287234
rap,CLaMP2-ABC,40,0.13214207803608946
