config_a,config_b,spearman_tau,p_value,n_pairs,interpretable
MusicBERT-REMI,MusicBERT-TSD,0.4357142857142856,0.10449335704406648,15,True
MusicBERT-REMI,CLaMP2-MTF,0.825,0.0001532355709056457,15,True
MusicBERT-REMI,CLaMP1-ABC,0.8678571428571429,2.751806395512921e-05,15,True
MusicBERT-REMI,CLaMP2-ABC,0.8107142857142855,0.00024600797797220606,15,True
MusicBERT-TSD,CLaMP2-MTF,0.5249999999999999,0.04448390580010633,15,True
MusicBERT-TSD,CLaMP1-ABC,0.6214285714285712,0.013402006712181815,15,True
MusicBERT-TSD,CLaMP2-ABC,0.5142857142857142,0.0498392334714206,15,True
CLaMP2-MTF,CLaMP1-ABC,0.907142857142857,3.06331053549387e-06,15,True
CLaMP2-MTF,CLaMP2-ABC,0.8357142857142855,0.00010444687327713341,15,True
CLaMP1-ABC,CLaMP2-ABC,0.907142857142857,3.06331053549387e-06,15,True
